# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: Project 2
# Creation date: 11/13/2021 15:46:51
# 
# 11/13/2021 15:46:52
# The parameters defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3
DP 0,25,125,75
# 
# A non parametric change occurred and invalidated design point results.
# 11/13/2021 16:10:04
# 
# 
# 11/13/2021 17:50:17
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - rotor_thickness [mm],P2 - rotor_OD [mm],P3 - rotor_ID [mm],P4 - Total Deformation Reported Frequency [Hz],P5 - Equivalent Stress Maximum [MPa],P6 - Temperature Maximum [C]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 1,22.5,124,66,1643.665778023342,15.172817962788887,347.38247680664063
DP 2,22.5,124,90,1238.152325742906,12.784308574183802,350.7913818359375
DP 3,22.5,142,78,1268.7876941705358,11.5212349336431,349.77651977539063
DP 4,22.5,160,66,955.70191095577752,11.760541237655966,339.04083251953125
DP 5,22.5,160,90,956.06664697173892,16.364838072116569,349.40682983398438
DP 6,23.75,133,72,1482.8034922926715,21.269379425996675,346.15362548828125
DP 7,23.75,133,84,1330.9084576377049,21.428106224910525,346.65243530273438
DP 8,23.75,142,78,1287.6381414237155,21.218387144946966,345.3719482421875
DP 9,23.75,151,72,1148.8449216110505,21.571431903727664,344.44171142578125
DP 10,23.75,151,84,1094.718636820523,20.388005533803121,345.68392944335938
DP 11,25,124,78,1565.1775588208379,17.371671165021436,343.33096313476563
DP 12,25,133,78,1440.3871434680468,18.239235883145664,342.56640625
DP 13,25,142,66,1302.7031538158203,18.464605261897997,340.205810546875
DP 14,25,142,72,1326.7950117326111,17.756846383145295,340.374755859375
DP 15,25,142,78,1304.7742626923907,17.262261531460855,340.58746337890625
DP 16,25,142,84,1233.5999843129966,17.045632296137285,341.51434326171875
DP 17,25,142,90,1168.5830004312463,14.128401477682072,340.73577880859375
DP 18,25,151,78,1171.0891516588747,17.523582132360804,340.80960083007813
DP 19,25,160,78,1048.2934070103354,18.173101679012632,340.33267211914063
DP 20,26.25,133,72,1526.0791233232437,11.623900402733689,341.6787109375
DP 21,26.25,133,84,1363.6295114446809,12.344662693525327,342.88430786132813
DP 22,26.25,142,78,1323.658279562396,11.916453704293206,338.34957885742188
DP 23,26.25,151,72,1197.7046915480691,11.98468355897837,337.9459228515625
DP 24,26.25,151,84,1129.2458316126081,12.73589629754893,339.26104736328125
DP 25,27.5,124,66,1773.7838425197017,14.84580330160847,333.56649780273438
DP 26,27.5,124,90,1315.1987261793472,13.833870699283391,336.00924682617188
DP 27,27.5,142,78,1343.4328456177579,12.182844359508262,335.28256225585938
DP 28,27.5,160,66,1079.1527334189752,13.44257165211153,333.67422485351563
DP 29,27.5,160,90,1019.5082205566594,16.640632955802179,334.8916015625
